MW750027 delta_MW750027
MZ491631.1 delta_MZ491631.1
MZ491402.1 delta_MZ491402.1
MZ491467.1 delta_MZ491467.1
MZ491615.1 delta_MZ491615.1
MZ491476.1 delta_MZ491476.1
MZ491565.1 delta_MZ491565.1
MZ491771.1 delta_MZ491771.1
MZ491366.1 delta_MZ491366.1
MZ491589.1 delta_MZ491589.1
MZ491344.1 delta_MZ491344.1
MZ491519.1 delta_MZ491519.1
MZ491761.1 delta_MZ491761.1
MZ491574.1 delta_MZ491574.1
MZ491692.1 delta_MZ491692.1
MZ491734.1 delta_MZ491734.1
MZ491768.1 delta_MZ491768.1
MZ492183.1 delta_MZ492183.1
MZ491682.1 delta_MZ491682.1
MZ491649.1 delta_MZ491649.1
MZ491469.1 delta_MZ491469.1
MZ491599.1 delta_MZ491599.1
MZ491357.1 delta_MZ491357.1
MZ491704.1 delta_MZ491704.1
MZ491755.1 delta_MZ491755.1
MZ491489.1 delta_MZ491489.1
MZ491486.1 delta_MZ491486.1
MZ491697.1 delta_MZ491697.1
MZ491735.1 delta_MZ491735.1
MZ491660.1 delta_MZ491660.1
MZ492061.1 delta_MZ492061.1
MZ491451.1 delta_MZ491451.1
MZ491400.1 delta_MZ491400.1
MZ492184.1 delta_MZ492184.1
MZ492071.1 delta_MZ492071.1
MZ492343.1 delta_MZ492343.1
MZ492199.1 delta_MZ492199.1
MZ492290.1 delta_MZ492290.1
MZ492225.1 delta_MZ492225.1
MZ492122.1 delta_MZ492122.1
MZ492192.1 delta_MZ492192.1
MZ492169.1 delta_MZ492169.1
MZ492280.1 delta_MZ492280.1
MZ492150.1 delta_MZ492150.1
MZ492302.1 delta_MZ492302.1
MZ492296.1 delta_MZ492296.1
MZ492307.1 delta_MZ492307.1
MZ492335.1 delta_MZ492335.1
MZ491740.1 delta_MZ491740.1
MZ491306.1 delta_MZ491306.1
MZ491355.1 delta_MZ491355.1
MZ491673.1 delta_MZ491673.1
MZ491435.1 delta_MZ491435.1
MZ491663.1 delta_MZ491663.1
MZ491625.1 delta_MZ491625.1
MZ491397.1 delta_MZ491397.1
MZ491497.1 delta_MZ491497.1
MZ491387.1 delta_MZ491387.1
MZ491427.1 delta_MZ491427.1
MZ492058.1 delta_MZ492058.1
MZ492084.1 delta_MZ492084.1
MZ492110.1 delta_MZ492110.1
MZ492105.1 delta_MZ492105.1
MZ492103.1 delta_MZ492103.1
MZ492080.1 delta_MZ492080.1
MZ491447.1 delta_MZ491447.1
MZ492322.1 delta_MZ492322.1
MZ492108.1 delta_MZ492108.1
MZ492340.1 delta_MZ492340.1
MZ492319.1 delta_MZ492319.1
MZ491976.1 delta_MZ491976.1
MZ492311.1 delta_MZ492311.1
MZ492053.1 delta_MZ492053.1
MZ492030.1 delta_MZ492030.1
MZ491882.1 delta_MZ491882.1
MZ492034.1 delta_MZ492034.1
MZ491985.1 delta_MZ491985.1
MZ491984.1 delta_MZ491984.1
MZ492022.1 delta_MZ492022.1
MZ492012.1 delta_MZ492012.1
MZ492026.1 delta_MZ492026.1
MZ492001.1 delta_MZ492001.1
MZ491927.1 delta_MZ491927.1
MZ491896.1 delta_MZ491896.1
MZ492009.1 delta_MZ492009.1
MZ491915.1 delta_MZ491915.1
MZ491994.1 delta_MZ491994.1
MZ491894.1 delta_MZ491894.1
MZ491903.1 delta_MZ491903.1
MZ491923.1 delta_MZ491923.1
MZ492036.1 delta_MZ492036.1
MZ492008.1 delta_MZ492008.1
MZ491898.1 delta_MZ491898.1
MZ491932.1 delta_MZ491932.1
MZ494053.1 delta_MZ494053.1
MZ494047.1 delta_MZ494047.1
MZ494083.1 delta_MZ494083.1
MZ494042.1 delta_MZ494042.1
MZ494086.1 delta_MZ494086.1
MZ494093.1 delta_MZ494093.1
MZ494074.1 delta_MZ494074.1
MZ494099.1 delta_MZ494099.1
MZ493412.1 delta_MZ493412.1
MZ493404.1 delta_MZ493404.1
MZ493418.1 delta_MZ493418.1
MZ493427.1 delta_MZ493427.1
MZ493614.1 delta_MZ493614.1
MZ493432.1 delta_MZ493432.1
MZ493578.1 delta_MZ493578.1
MZ493603.1 delta_MZ493603.1
MZ493408.1 delta_MZ493408.1
MZ493409.1 delta_MZ493409.1
MZ493405.1 delta_MZ493405.1
MZ493410.1 delta_MZ493410.1
MZ493652.1 delta_MZ493652.1
MZ493428.1 delta_MZ493428.1
MZ493566.1 delta_MZ493566.1
MZ493547.1 delta_MZ493547.1
MZ493484.1 delta_MZ493484.1
MZ493591.1 delta_MZ493591.1
MZ493607.1 delta_MZ493607.1
MZ493574.1 delta_MZ493574.1
MZ493546.1 delta_MZ493546.1
MZ493564.1 delta_MZ493564.1
MZ493454.1 delta_MZ493454.1
MZ493660.1 delta_MZ493660.1
MZ493630.1 delta_MZ493630.1
MZ493678.1 delta_MZ493678.1
MZ493555.1 delta_MZ493555.1
MZ493662.1 delta_MZ493662.1
MZ565760.1 delta_MZ565760.1
MZ565775.1 delta_MZ565775.1
MZ565776.1 delta_MZ565776.1
MZ565797.1 delta_MZ565797.1
MZ565767.1 delta_MZ565767.1
MZ565789.1 delta_MZ565789.1
MZ565755.1 delta_MZ565755.1
MZ565782.1 delta_MZ565782.1
MZ566010.1 delta_MZ566010.1
MZ565983.1 delta_MZ565983.1
MZ566012.1 delta_MZ566012.1
MZ566013.1 delta_MZ566013.1
MZ565696.1 delta_MZ565696.1
MZ565734.1 delta_MZ565734.1
MZ565740.1 delta_MZ565740.1
MZ565710.1 delta_MZ565710.1
MZ565736.1 delta_MZ565736.1
MZ565986.1 delta_MZ565986.1
MZ566006.1 delta_MZ566006.1
MZ565722.1 delta_MZ565722.1
MZ565692.1 delta_MZ565692.1
MZ566026.1 delta_MZ566026.1
MZ565763.1 delta_MZ565763.1
MZ566007.1 delta_MZ566007.1
MZ566009.1 delta_MZ566009.1
MZ565693.1 delta_MZ565693.1
MZ565711.1 delta_MZ565711.1
MZ565741.1 delta_MZ565741.1
MZ565742.1 delta_MZ565742.1
MZ565743.1 delta_MZ565743.1
MZ566034.1 delta_MZ566034.1
MZ566033.1 delta_MZ566033.1
MZ565898.1 delta_MZ565898.1
MZ565975.1 delta_MZ565975.1
MZ565903.1 delta_MZ565903.1
MZ565972.1 delta_MZ565972.1
MZ566039.1 delta_MZ566039.1
MZ565967.1 delta_MZ565967.1
MZ565686.1 delta_MZ565686.1
MZ566104.1 delta_MZ566104.1
MZ566108.1 delta_MZ566108.1
MZ565681.1 delta_MZ565681.1
MZ566117.1 delta_MZ566117.1
MZ566125.1 delta_MZ566125.1
MZ566131.1 delta_MZ566131.1
MZ566136.1 delta_MZ566136.1
MZ565960.1 delta_MZ565960.1
MZ566134.1 delta_MZ566134.1
MZ566140.1 delta_MZ566140.1
MZ566146.1 delta_MZ566146.1
MZ565945.1 delta_MZ565945.1
MZ565957.1 delta_MZ565957.1
MZ565962.1 delta_MZ565962.1
MZ566143.1 delta_MZ566143.1
MZ566144.1 delta_MZ566144.1
MZ565959.1 delta_MZ565959.1
MZ565861.1 delta_MZ565861.1
MZ565977.1 delta_MZ565977.1
MZ565824.1 delta_MZ565824.1
MZ565839.1 delta_MZ565839.1
MZ565921.1 delta_MZ565921.1
MZ565953.1 delta_MZ565953.1
MZ565819.1 delta_MZ565819.1
MZ565843.1 delta_MZ565843.1
MZ565846.1 delta_MZ565846.1
MZ565929.1 delta_MZ565929.1
MZ565919.1 delta_MZ565919.1
MZ566106.1 delta_MZ566106.1
MZ565923.1 delta_MZ565923.1
MZ566196.1 delta_MZ566196.1
MZ566163.1 delta_MZ566163.1
MZ566174.1 delta_MZ566174.1
MZ566175.1 delta_MZ566175.1
MZ566195.1 delta_MZ566195.1
MZ566213.1 delta_MZ566213.1
MZ565836.1 delta_MZ565836.1
MZ565973.1 delta_MZ565973.1
MZ565931.1 delta_MZ565931.1
MZ566161.1 delta_MZ566161.1
MZ566169.1 delta_MZ566169.1
MZ566177.1 delta_MZ566177.1
MZ566165.1 delta_MZ566165.1
MZ566184.1 delta_MZ566184.1
MZ566207.1 delta_MZ566207.1
MZ566211.1 delta_MZ566211.1
MZ566048.1 delta_MZ566048.1
MZ566058.1 delta_MZ566058.1
MZ566074.1 delta_MZ566074.1
MZ565951.1 delta_MZ565951.1
MZ566049.1 delta_MZ566049.1
MZ566060.1 delta_MZ566060.1
MZ566087.1 delta_MZ566087.1
MZ566098.1 delta_MZ566098.1
MZ566414.1 delta_MZ566414.1
MZ566407.1 delta_MZ566407.1
MZ566067.1 delta_MZ566067.1
MZ566086.1 delta_MZ566086.1
MZ566093.1 delta_MZ566093.1
MZ566202.1 delta_MZ566202.1
MZ566402.1 delta_MZ566402.1
MZ566066.1 delta_MZ566066.1
MZ566236.1 delta_MZ566236.1
MZ566412.1 delta_MZ566412.1
MZ566218.1 delta_MZ566218.1
MZ566362.1 delta_MZ566362.1
MZ566384.1 delta_MZ566384.1
MZ566400.1 delta_MZ566400.1
MZ566343.1 delta_MZ566343.1
MZ566273.1 delta_MZ566273.1
MZ566288.1 delta_MZ566288.1
MZ566401.1 delta_MZ566401.1
MZ566338.1 delta_MZ566338.1
MZ566361.1 delta_MZ566361.1
MZ566457.1 delta_MZ566457.1
MZ566470.1 delta_MZ566470.1
MZ566289.1 delta_MZ566289.1
MZ566266.1 delta_MZ566266.1
MZ566264.1 delta_MZ566264.1
MZ566300.1 delta_MZ566300.1
MZ566304.1 delta_MZ566304.1
MZ566453.1 delta_MZ566453.1
MZ566455.1 delta_MZ566455.1
MZ566309.1 delta_MZ566309.1
MZ566256.1 delta_MZ566256.1
MZ566399.1 delta_MZ566399.1
MZ565868.1 delta_MZ565868.1
MZ565866.1 delta_MZ565866.1
MZ496800.1 delta_MZ496800.1
MZ496770.1 delta_MZ496770.1
MZ496751.1 delta_MZ496751.1
MZ496744.1 delta_MZ496744.1
MZ498130.1 delta_MZ498130.1
MZ498131.1 delta_MZ498131.1
MZ500523.1 delta_MZ500523.1
MZ513858.1 delta_MZ513858.1
MZ513864.1 delta_MZ513864.1
MZ513841.1 delta_MZ513841.1
MZ513860.1 delta_MZ513860.1
MZ505746.1 delta_MZ505746.1
MZ513870.1 delta_MZ513870.1
MZ511602.1 delta_MZ511602.1
MZ511640.1 delta_MZ511640.1
MZ505747.1 delta_MZ505747.1
MZ513810.1 delta_MZ513810.1
MZ513812.1 delta_MZ513812.1
MZ511515.1 delta_MZ511515.1
MZ511610.1 delta_MZ511610.1
MZ511611.1 delta_MZ511611.1
MZ511609.1 delta_MZ511609.1
MZ511532.1 delta_MZ511532.1
MZ511521.1 delta_MZ511521.1
MZ511518.1 delta_MZ511518.1
MZ509271.1 delta_MZ509271.1
MZ506238.1 delta_MZ506238.1
MZ511519.1 delta_MZ511519.1
MZ511513.1 delta_MZ511513.1
MZ511520.1 delta_MZ511520.1
MZ511671.1 delta_MZ511671.1
MZ511541.1 delta_MZ511541.1
MZ511603.1 delta_MZ511603.1
MZ511569.1 delta_MZ511569.1
MZ511571.1 delta_MZ511571.1
MZ511568.1 delta_MZ511568.1
MZ511592.1 delta_MZ511592.1
MZ511591.1 delta_MZ511591.1
MZ511598.1 delta_MZ511598.1
MZ511645.1 delta_MZ511645.1
MZ506022.1 delta_MZ506022.1
MZ506034.1 delta_MZ506034.1
MZ511516.1 delta_MZ511516.1
MZ511628.1 delta_MZ511628.1
MZ511630.1 delta_MZ511630.1
MZ511626.1 delta_MZ511626.1
MZ511512.1 delta_MZ511512.1
MZ511537.1 delta_MZ511537.1
MZ511542.1 delta_MZ511542.1
MZ511539.1 delta_MZ511539.1
MZ511524.1 delta_MZ511524.1
MZ511608.1 delta_MZ511608.1
MZ511572.1 delta_MZ511572.1
MZ511642.1 delta_MZ511642.1
MZ506266.1 delta_MZ506266.1
MZ506269.1 delta_MZ506269.1
MZ511672.1 delta_MZ511672.1
MZ511641.1 delta_MZ511641.1
MZ506115.1 delta_MZ506115.1
MZ511629.1 delta_MZ511629.1
MZ511636.1 delta_MZ511636.1
MZ511639.1 delta_MZ511639.1
MZ511595.1 delta_MZ511595.1
MZ511596.1 delta_MZ511596.1
MZ511644.1 delta_MZ511644.1
MZ506108.1 delta_MZ506108.1
MZ506255.1 delta_MZ506255.1
MZ511634.1 delta_MZ511634.1
MZ511631.1 delta_MZ511631.1
MZ511635.1 delta_MZ511635.1
MZ511643.1 delta_MZ511643.1
MZ506101.1 delta_MZ506101.1
MZ513765.1 delta_MZ513765.1
MZ506192.1 delta_MZ506192.1
MZ506214.1 delta_MZ506214.1
MZ506268.1 delta_MZ506268.1
MZ513763.1 delta_MZ513763.1
MZ511593.1 delta_MZ511593.1
MZ506062.1 delta_MZ506062.1
MZ506064.1 delta_MZ506064.1
MZ506081.1 delta_MZ506081.1
MZ506226.1 delta_MZ506226.1
MZ506000.1 delta_MZ506000.1
MZ506010.1 delta_MZ506010.1
MZ506047.1 delta_MZ506047.1
MZ506166.1 delta_MZ506166.1
MZ506233.1 delta_MZ506233.1
MZ506310.1 delta_MZ506310.1
MZ506311.1 delta_MZ506311.1
MZ506219.1 delta_MZ506219.1
MZ506049.1 delta_MZ506049.1
MZ506071.1 delta_MZ506071.1
MZ506003.1 delta_MZ506003.1
MZ506133.1 delta_MZ506133.1
MZ506258.1 delta_MZ506258.1
MZ506309.1 delta_MZ506309.1
MZ514075.1 delta_MZ514075.1
MZ505980.1 delta_MZ505980.1
MZ506075.1 delta_MZ506075.1
MZ506223.1 delta_MZ506223.1
MZ513703.1 delta_MZ513703.1
MZ513704.1 delta_MZ513704.1
MZ514077.1 delta_MZ514077.1
MZ506009.1 delta_MZ506009.1
MZ506076.1 delta_MZ506076.1
MZ506087.1 delta_MZ506087.1
MZ506250.1 delta_MZ506250.1
MZ506295.1 delta_MZ506295.1
MZ514044.1 delta_MZ514044.1
MZ514024.1 delta_MZ514024.1
MZ506308.1 delta_MZ506308.1
MZ506325.1 delta_MZ506325.1
MZ506329.1 delta_MZ506329.1
MZ506330.1 delta_MZ506330.1
MZ506331.1 delta_MZ506331.1
MZ506334.1 delta_MZ506334.1
MZ506335.1 delta_MZ506335.1
MZ506336.1 delta_MZ506336.1
MZ506085.1 delta_MZ506085.1
MZ512407.1 delta_MZ512407.1
MZ512979.1 delta_MZ512979.1
MZ512963.1 delta_MZ512963.1
MZ512965.1 delta_MZ512965.1
MZ512338.1 delta_MZ512338.1
MZ511413.1 delta_MZ511413.1
MZ519587.1 delta_MZ519587.1
MZ519663.1 delta_MZ519663.1
MZ519574.1 delta_MZ519574.1
MZ519649.1 delta_MZ519649.1
MZ519570.1 delta_MZ519570.1
MZ519605.1 delta_MZ519605.1
MZ519556.1 delta_MZ519556.1
MZ519592.1 delta_MZ519592.1
MZ519594.1 delta_MZ519594.1
MZ519621.1 delta_MZ519621.1
MZ518482.1 delta_MZ518482.1
MZ518739.1 delta_MZ518739.1
MZ518772.1 delta_MZ518772.1
MZ519558.1 delta_MZ519558.1
MZ519567.1 delta_MZ519567.1
MZ518446.1 delta_MZ518446.1
MZ518505.1 delta_MZ518505.1
MZ518515.1 delta_MZ518515.1
MZ518542.1 delta_MZ518542.1
MZ518669.1 delta_MZ518669.1
MZ518779.1 delta_MZ518779.1
MZ519651.1 delta_MZ519651.1
MZ519568.1 delta_MZ519568.1
MZ518449.1 delta_MZ518449.1
MZ518713.1 delta_MZ518713.1
MZ518731.1 delta_MZ518731.1
MZ518757.1 delta_MZ518757.1
MZ519577.1 delta_MZ519577.1
MZ519583.1 delta_MZ519583.1
MZ519588.1 delta_MZ519588.1
MZ519566.1 delta_MZ519566.1
MZ518416.1 delta_MZ518416.1
MZ518466.1 delta_MZ518466.1
MZ518468.1 delta_MZ518468.1
MZ518470.1 delta_MZ518470.1
MZ518500.1 delta_MZ518500.1
MZ518525.1 delta_MZ518525.1
MZ518556.1 delta_MZ518556.1
MZ518629.1 delta_MZ518629.1
MZ518716.1 delta_MZ518716.1
MZ518767.1 delta_MZ518767.1
MZ519589.1 delta_MZ519589.1
MZ519627.1 delta_MZ519627.1
MZ518469.1 delta_MZ518469.1
MZ518481.1 delta_MZ518481.1
MZ518550.1 delta_MZ518550.1
MZ518604.1 delta_MZ518604.1
MZ518622.1 delta_MZ518622.1
MZ518632.1 delta_MZ518632.1
MZ518692.1 delta_MZ518692.1
MZ518725.1 delta_MZ518725.1
MZ519564.1 delta_MZ519564.1
MZ518393.1 delta_MZ518393.1
MZ518420.1 delta_MZ518420.1
MZ518460.1 delta_MZ518460.1
MZ518484.1 delta_MZ518484.1
MZ518538.1 delta_MZ518538.1
MZ518547.1 delta_MZ518547.1
MZ518572.1 delta_MZ518572.1
MZ518573.1 delta_MZ518573.1
MZ518578.1 delta_MZ518578.1
MZ518585.1 delta_MZ518585.1
MZ518640.1 delta_MZ518640.1
MZ518659.1 delta_MZ518659.1
MZ518661.1 delta_MZ518661.1
MZ518710.1 delta_MZ518710.1
MZ518768.1 delta_MZ518768.1
MZ519562.1 delta_MZ519562.1
MZ519563.1 delta_MZ519563.1
MZ518447.1 delta_MZ518447.1
MZ518589.1 delta_MZ518589.1
MZ518421.1 delta_MZ518421.1
MZ518476.1 delta_MZ518476.1
MZ518541.1 delta_MZ518541.1
MZ518698.1 delta_MZ518698.1
MZ518705.1 delta_MZ518705.1
MZ519560.1 delta_MZ519560.1
MZ518454.1 delta_MZ518454.1
MZ518598.1 delta_MZ518598.1
MZ518665.1 delta_MZ518665.1
MZ518686.1 delta_MZ518686.1
MZ518586.1 delta_MZ518586.1
MZ518658.1 delta_MZ518658.1
MZ518480.1 delta_MZ518480.1
MZ518577.1 delta_MZ518577.1
MZ518581.1 delta_MZ518581.1
MZ518602.1 delta_MZ518602.1
MZ518695.1 delta_MZ518695.1
MZ518612.1 delta_MZ518612.1
MZ518396.1 delta_MZ518396.1
MZ518413.1 delta_MZ518413.1
MZ518619.1 delta_MZ518619.1
MZ518732.1 delta_MZ518732.1
MZ518761.1 delta_MZ518761.1
MZ518770.1 delta_MZ518770.1
MZ518400.1 delta_MZ518400.1
MZ518432.1 delta_MZ518432.1
MZ518633.1 delta_MZ518633.1
MZ518453.1 delta_MZ518453.1
MZ518467.1 delta_MZ518467.1
MZ518486.1 delta_MZ518486.1
MZ518493.1 delta_MZ518493.1
MZ518744.1 delta_MZ518744.1
MZ518721.1 delta_MZ518721.1
MZ518271.1 delta_MZ518271.1
MZ531900.1 delta_MZ531900.1
MZ539998.1 delta_MZ539998.1
MZ540000.1 delta_MZ540000.1
MZ533584.1 delta_MZ533584.1
MZ533585.1 delta_MZ533585.1
MZ533528.1 delta_MZ533528.1
MZ535779.1 delta_MZ535779.1
MZ535866.1 delta_MZ535866.1
MZ536094.1 delta_MZ536094.1
MZ535976.1 delta_MZ535976.1
MZ536147.1 delta_MZ536147.1
MZ536164.1 delta_MZ536164.1
MZ536187.1 delta_MZ536187.1
MZ536115.1 delta_MZ536115.1
MZ535925.1 delta_MZ535925.1
MZ535974.1 delta_MZ535974.1
MZ536160.1 delta_MZ536160.1
MZ536092.1 delta_MZ536092.1
MZ536100.1 delta_MZ536100.1
MZ535839.1 delta_MZ535839.1
MZ536095.1 delta_MZ536095.1
MZ536078.1 delta_MZ536078.1
MZ535769.1 delta_MZ535769.1
MZ535802.1 delta_MZ535802.1
MZ535927.1 delta_MZ535927.1
MZ536125.1 delta_MZ536125.1
MZ539999.1 delta_MZ539999.1
MZ532206.1 delta_MZ532206.1
MZ532209.1 delta_MZ532209.1
MZ532212.1 delta_MZ532212.1
MZ532218.1 delta_MZ532218.1
MZ532220.1 delta_MZ532220.1
MZ535963.1 delta_MZ535963.1
MZ535868.1 delta_MZ535868.1
MZ535923.1 delta_MZ535923.1
MZ535828.1 delta_MZ535828.1
MZ536072.1 delta_MZ536072.1
MZ533515.1 delta_MZ533515.1
MZ533519.1 delta_MZ533519.1
MZ535879.1 delta_MZ535879.1
MZ535741.1 delta_MZ535741.1
MZ535940.1 delta_MZ535940.1
MZ533496.1 delta_MZ533496.1
MZ533504.1 delta_MZ533504.1
MZ533509.1 delta_MZ533509.1
MZ533514.1 delta_MZ533514.1
MZ533550.1 delta_MZ533550.1
MZ533553.1 delta_MZ533553.1
MZ533547.1 delta_MZ533547.1
MZ533548.1 delta_MZ533548.1
MZ533127.1 delta_MZ533127.1
MZ535894.1 delta_MZ535894.1
MZ535451.1 delta_MZ535451.1
MZ535344.1 delta_MZ535344.1
MZ535472.1 delta_MZ535472.1
MZ535487.1 delta_MZ535487.1
MZ535805.1 delta_MZ535805.1
MZ536015.1 delta_MZ536015.1
MZ536035.1 delta_MZ536035.1
MZ536138.1 delta_MZ536138.1
MZ535871.1 delta_MZ535871.1
MZ535757.1 delta_MZ535757.1
MZ535910.1 delta_MZ535910.1
MZ536210.1 delta_MZ536210.1
MZ535788.1 delta_MZ535788.1
MZ535899.1 delta_MZ535899.1
MZ535997.1 delta_MZ535997.1
MZ535856.1 delta_MZ535856.1
MZ535831.1 delta_MZ535831.1
MZ535980.1 delta_MZ535980.1
MZ536108.1 delta_MZ536108.1
MZ535734.1 delta_MZ535734.1
MZ539997.1 delta_MZ539997.1
MZ533538.1 delta_MZ533538.1
MZ533534.1 delta_MZ533534.1
MZ533535.1 delta_MZ533535.1
MZ533541.1 delta_MZ533541.1
MZ533559.1 delta_MZ533559.1
MZ537325.1 delta_MZ537325.1
MZ535994.1 delta_MZ535994.1
MZ536110.1 delta_MZ536110.1
MZ535766.1 delta_MZ535766.1
MZ535857.1 delta_MZ535857.1
MZ536031.1 delta_MZ536031.1
MZ536183.1 delta_MZ536183.1
MZ536075.1 delta_MZ536075.1
MZ536167.1 delta_MZ536167.1
MZ535929.1 delta_MZ535929.1
MZ536139.1 delta_MZ536139.1
MZ533554.1 delta_MZ533554.1
MZ533573.1 delta_MZ533573.1
MZ537317.1 delta_MZ537317.1
MZ533486.1 delta_MZ533486.1
MZ533487.1 delta_MZ533487.1
MZ533542.1 delta_MZ533542.1
MZ533564.1 delta_MZ533564.1
MZ533533.1 delta_MZ533533.1
MZ533475.1 delta_MZ533475.1
MZ536087.1 delta_MZ536087.1
MZ533546.1 delta_MZ533546.1
MZ533468.1 delta_MZ533468.1
MZ533478.1 delta_MZ533478.1
MZ533479.1 delta_MZ533479.1
MZ533480.1 delta_MZ533480.1
MZ536043.1 delta_MZ536043.1
MZ536068.1 delta_MZ536068.1
MZ536079.1 delta_MZ536079.1
MZ535968.1 delta_MZ535968.1
MZ533467.1 delta_MZ533467.1
MZ533472.1 delta_MZ533472.1
MZ533473.1 delta_MZ533473.1
MZ533474.1 delta_MZ533474.1
MZ537318.1 delta_MZ537318.1
MZ537323.1 delta_MZ537323.1
MZ533555.1 delta_MZ533555.1
MZ535531.1 delta_MZ535531.1
MZ535462.1 delta_MZ535462.1
MZ535386.1 delta_MZ535386.1
MZ535710.1 delta_MZ535710.1
MZ535658.1 delta_MZ535658.1
MZ535719.1 delta_MZ535719.1
MZ535570.1 delta_MZ535570.1
MZ535374.1 delta_MZ535374.1
MZ535701.1 delta_MZ535701.1
MZ535699.1 delta_MZ535699.1
MZ535392.1 delta_MZ535392.1
MZ535593.1 delta_MZ535593.1
MZ535415.1 delta_MZ535415.1
MZ535520.1 delta_MZ535520.1
MZ535591.1 delta_MZ535591.1
MZ535723.1 delta_MZ535723.1
MZ535399.1 delta_MZ535399.1
MZ535441.1 delta_MZ535441.1
MZ535608.1 delta_MZ535608.1
MZ535448.1 delta_MZ535448.1
MZ535557.1 delta_MZ535557.1
MZ535565.1 delta_MZ535565.1
MZ535714.1 delta_MZ535714.1
MZ535471.1 delta_MZ535471.1
MZ535715.1 delta_MZ535715.1
MZ535534.1 delta_MZ535534.1
MZ535406.1 delta_MZ535406.1
MZ535404.1 delta_MZ535404.1
MZ536123.1 delta_MZ536123.1
MZ535353.1 delta_MZ535353.1
MZ535481.1 delta_MZ535481.1
MZ535630.1 delta_MZ535630.1
MZ535402.1 delta_MZ535402.1
MZ535543.1 delta_MZ535543.1
MZ535709.1 delta_MZ535709.1
MZ535633.1 delta_MZ535633.1
MZ536155.1 delta_MZ536155.1
MZ533476.1 delta_MZ533476.1
MZ533446.1 delta_MZ533446.1
MZ533464.1 delta_MZ533464.1
MZ533465.1 delta_MZ533465.1
MZ533582.1 delta_MZ533582.1
MZ536150.1 delta_MZ536150.1
MZ535932.1 delta_MZ535932.1
MZ532238.1 delta_MZ532238.1
MZ532243.1 delta_MZ532243.1
MZ532240.1 delta_MZ532240.1
MZ533485.1 delta_MZ533485.1
MZ533426.1 delta_MZ533426.1
MZ533497.1 delta_MZ533497.1
MZ535767.1 delta_MZ535767.1
MZ533385.1 delta_MZ533385.1
MZ533386.1 delta_MZ533386.1
MZ533388.1 delta_MZ533388.1
MZ533397.1 delta_MZ533397.1
MZ533398.1 delta_MZ533398.1
MZ533399.1 delta_MZ533399.1
MZ533402.1 delta_MZ533402.1
MZ533404.1 delta_MZ533404.1
MZ533406.1 delta_MZ533406.1
MZ533407.1 delta_MZ533407.1
MZ533410.1 delta_MZ533410.1
MZ537312.1 delta_MZ537312.1
MZ533444.1 delta_MZ533444.1
MZ537313.1 delta_MZ537313.1
MZ533451.1 delta_MZ533451.1
MZ533453.1 delta_MZ533453.1
MZ533459.1 delta_MZ533459.1
MZ533578.1 delta_MZ533578.1
MZ533579.1 delta_MZ533579.1
MZ535977.1 delta_MZ535977.1
MZ535989.1 delta_MZ535989.1
MZ535804.1 delta_MZ535804.1
MZ536021.1 delta_MZ536021.1
MZ535943.1 delta_MZ535943.1
MZ535967.1 delta_MZ535967.1
MZ535947.1 delta_MZ535947.1
MZ535824.1 delta_MZ535824.1
MZ536152.1 delta_MZ536152.1
MZ535998.1 delta_MZ535998.1
MZ537314.1 delta_MZ537314.1
MZ537309.1 delta_MZ537309.1
MZ533401.1 delta_MZ533401.1
MZ533425.1 delta_MZ533425.1
MZ533427.1 delta_MZ533427.1
MZ537311.1 delta_MZ537311.1
MZ533431.1 delta_MZ533431.1
MZ533433.1 delta_MZ533433.1
MZ533434.1 delta_MZ533434.1
MZ533445.1 delta_MZ533445.1
MZ536037.1 delta_MZ536037.1
MZ535954.1 delta_MZ535954.1
MZ535750.1 delta_MZ535750.1
MZ536212.1 delta_MZ536212.1
MZ535763.1 delta_MZ535763.1
MZ536099.1 delta_MZ536099.1
MZ535981.1 delta_MZ535981.1
MZ535753.1 delta_MZ535753.1
MZ536121.1 delta_MZ536121.1
MZ535829.1 delta_MZ535829.1
MZ536186.1 delta_MZ536186.1
MZ535752.1 delta_MZ535752.1
MZ536176.1 delta_MZ536176.1
MZ536180.1 delta_MZ536180.1
MZ536174.1 delta_MZ536174.1
MZ535845.1 delta_MZ535845.1
MZ535760.1 delta_MZ535760.1
MZ535781.1 delta_MZ535781.1
MZ536184.1 delta_MZ536184.1
MZ533447.1 delta_MZ533447.1
MZ533437.1 delta_MZ533437.1
MZ533461.1 delta_MZ533461.1
MZ535807.1 delta_MZ535807.1
MZ535883.1 delta_MZ535883.1
MZ536169.1 delta_MZ536169.1
MZ533409.1 delta_MZ533409.1
MZ533441.1 delta_MZ533441.1
MZ520862.1 delta_MZ520862.1
MZ533597.1 delta_MZ533597.1
MZ533394.1 delta_MZ533394.1
MZ533405.1 delta_MZ533405.1
MZ536127.1 delta_MZ536127.1
MZ536055.1 delta_MZ536055.1
MZ536109.1 delta_MZ536109.1
MZ536175.1 delta_MZ536175.1
MZ535849.1 delta_MZ535849.1
MZ536144.1 delta_MZ536144.1
MZ535948.1 delta_MZ535948.1
MZ535984.1 delta_MZ535984.1
MZ533387.1 delta_MZ533387.1
MZ533389.1 delta_MZ533389.1
MZ533572.1 delta_MZ533572.1
MZ520940.1 delta_MZ520940.1
MZ533395.1 delta_MZ533395.1
MZ533452.1 delta_MZ533452.1
