	V1	Virus.Strain.Name	Data.Source	Related.ID	Lineage	Nuc.Completeness	Sequence.Length	Sequence.Quality	Quality.Assessment	Host	Sample.Collection.Date	Location	Originating.Lab	Submission.Date	Submitting.Lab	Create.Time	Last.Update.Time	Variant
3231	MW462666	SARS-CoV-2/human/USA/MN-MDH-2268/2020	GenBank	EPI_ISL_802589	B.1.234	Complete	29834	High	0/0/-/-/-	Homo sapiens	2020-12-28	United States / Minnesota	 	2021-01-11	Public Health Laboratory - Infectious Disease Lab, Minnesota Department of Health Infectious Disease Laboratory Submission Group, 601 Robert St. N, St. Paul, MN 55164, USA	2021-01-12 20:13:23	2021-03-16 10:46:59	B.1.234
3232	MW462669	SARS-CoV-2/human/USA/MN-MDH-2271/2020	GenBank	EPI_ISL_802592	B.1.139	Complete	29823	High	0/0/-/-/-	Homo sapiens	2020-12-28	United States / Minnesota	 	2021-01-11	Public Health Laboratory - Infectious Disease Lab, Minnesota Department of Health Infectious Disease Laboratory Submission Group, 601 Robert St. N, St. Paul, MN 55164, USA	2021-01-12 20:13:23	2021-03-16 10:46:59	B.1.139
3233	MW466797	SARS-CoV-2/human/KOR/KCDC31-NCCP43342/2020	GenBank	EPI_ISL_812962	B	Complete	29894	High	0/0/-/-/-	Homo sapiens	2020-07-28	South Korea	 	2021-01-13	Division of Pathogen Resource Management, Korea National Institute of Health, Korea Disease Control and Prevention Agency, 	NA	NA	B
3234	MW467439	SARS-CoV-2/human/EGY/EGY_CCHE57357_A_28/2020	GenBank	 	B	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-07-04	Egypt	 	2021-01-13	Genomics Program, Children Cancer Hospital, Zeinhom, El-Sayeda Zainab, Cairo Governorate, Cairo 11562, Egypt	2021-01-14 17:30:39	2021-03-16 10:46:59	B
3235	MW467459	SARS-CoV-2/human/EGY/EGY_CCHE57357_A_51/2020	GenBank	 	C.17	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-07-11	Egypt	 	2021-01-13	Genomics Program, Children Cancer Hospital, Zeinhom, El-Sayeda Zainab, Cairo Governorate, Cairo 11562, Egypt	2021-01-14 17:30:39	2021-03-16 10:46:59	C.17
3236	MW467460	SARS-CoV-2/human/EGY/EGY_CCHE57357_A_52/2020	GenBank	 	C.17	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-07-16	Egypt	 	2021-01-13	Genomics Program, Children Cancer Hospital, Zeinhom, El-Sayeda Zainab, Cairo Governorate, Cairo 11562, Egypt	2021-01-14 17:30:39	2021-03-16 10:46:59	C.17
3237	MW467464	SARS-CoV-2/human/EGY/EGY_CCHE57357_A_56/2020	GenBank	 	B	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-06-29	Egypt	 	2021-01-13	Genomics Program, Children Cancer Hospital, Zeinhom, El-Sayeda Zainab, Cairo Governorate, Cairo 11562, Egypt	2021-01-14 17:30:39	2021-03-16 10:46:59	B
3238	MW467468	SARS-CoV-2/human/EGY/EGY_CCHE57357_A_60/2020	GenBank	 	B	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-06-12	Egypt	 	2021-01-13	Genomics Program, Children Cancer Hospital, Zeinhom, El-Sayeda Zainab, Cairo Governorate, Cairo 11562, Egypt	2021-01-14 17:30:39	2021-03-16 10:46:59	B
3239	MW467471	SARS-CoV-2/human/EGY/EGY_CCHE57357_A_66/2020	GenBank	 	B	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-06-11	Egypt	 	2021-01-13	Genomics Program, Children Cancer Hospital, Zeinhom, El-Sayeda Zainab, Cairo Governorate, Cairo 11562, Egypt	2021-01-14 17:30:39	2021-03-16 10:46:59	B
3240	MW467475	SARS-CoV-2/human/EGY/EGY_CCHE57357_A_70/2020	GenBank	 	B	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-07-02	Egypt	 	2021-01-13	Genomics Program, Children Cancer Hospital, Zeinhom, El-Sayeda Zainab, Cairo Governorate, Cairo 11562, Egypt	2021-01-14 17:30:39	2021-03-16 10:46:59	B
3241	MW467497	SARS-CoV-2/human/EGY/EGY_CCHE57357_P_30/2020	GenBank	 	B.1	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-07-04	Egypt	 	2021-01-13	Genomics Program, Children Cancer Hospital, Zeinhom, El-Sayeda Zainab, Cairo Governorate, Cairo 11562, Egypt	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1
3242	MW467505	SARS-CoV-2/human/EGY/EGY_CCHE57357_P_41/2020	GenBank	 	B	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-07-23	Egypt	 	2021-01-13	Genomics Program, Children Cancer Hospital, Zeinhom, El-Sayeda Zainab, Cairo Governorate, Cairo 11562, Egypt	2021-01-14 17:30:39	2021-03-16 10:46:59	B
3243	MW471392	SARS-CoV-2/human/USA/ND-NDDH-0011/2020	GenBank	EPI_ISL_812243	B.1	Complete	29815	High	0/0/-/-/-	Homo sapiens	2020-03-17	United States / North Dakota	 	2021-01-13	Microbiology, ND Dept of Health, 2635 E Main, Bismarck, ND 58501, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1
3244	MW471393	SARS-CoV-2/human/USA/ND-NDDH-0012/2020	GenBank	EPI_ISL_812244	B.1	Complete	29816	High	0/0/-/-/-	Homo sapiens	2020-03-17	United States / North Dakota	 	2021-01-13	Microbiology, ND Dept of Health, 2635 E Main, Bismarck, ND 58501, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1
3245	MW471399	SARS-CoV-2/human/USA/ND-NDDH-0002/2020	GenBank	EPI_ISL_812234	B.1.382	Complete	29841	High	0/0/-/-/-	Homo sapiens	2020-06-03	United States / North Dakota	 	2021-01-13	Microbiology, ND Dept of Health, 2635 E Main, Bismarck, ND 58501, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.382
3246	MW473686	SARS-CoV-2/human/USA/RI-CDC-8420/2020	GenBank	EPI_ISL_801523	B.1.375	Complete	29897	High	0/0/-/-/-	Homo Sapiens	2020-12-17	United States / Rhode Island	Sonic Reference Laboratory	2021-01-11	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-12 20:13:23	2021-03-16 10:46:59	B.1.375
3247	MW473700	SARS-CoV-2/human/USA/-CDC-5134/2020	GenBank	EPI_ISL_801537	B.1.375	Complete	29897	High	0/0/-/-/-	Homo Sapiens	2020-12-26	United States	Sunrise Medical Labs	2021-01-11	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-12 20:13:23	2021-03-16 10:46:59	B.1.375
3248	MW474111	SARS-CoV-2/human/USA/WA-S2930/2020	GenBank	EPI_ISL_806860	B.1	Complete	29859	High	0/0/-/-/-	Homo sapiens	2020-08-26	United States / Washington /Thurston County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1
3249	MW474114	SARS-CoV-2/human/USA/WA-S2933/2020	GenBank	EPI_ISL_806863	B.1.349	Complete	29856	High	0/0/-/-/-	Homo sapiens	2020-08-31	United States / Washington /King County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.349
3250	MW474142	SARS-CoV-2/human/USA/WA-S2966/2020	GenBank	EPI_ISL_806896	B.1.369	Complete	29857	High	0/0/-/-/-	Homo sapiens	2020-09-07	United States / Washington /Yakima County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.369
3251	MW474145	SARS-CoV-2/human/USA/WA-S2969/2020	GenBank	EPI_ISL_806899	B.1	Complete	29872	High	0/0/-/-/-	Homo sapiens	2020-09-11	United States / Washington /Grays Harbor County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1
3252	MW474165	SARS-CoV-2/human/USA/WA-S2991/2020	GenBank	EPI_ISL_806921	B.1.1.291	Complete	29870	High	0/0/-/-/-	Homo sapiens	2020-08-12	United States / Washington /Yakima County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.1.291
3253	MW474168	SARS-CoV-2/human/USA/WA-S2994/2020	GenBank	EPI_ISL_806924	B.1.1.26	Complete	29856	High	0/0/-/-/-	Homo sapiens	2020-08-11	United States / Washington /Yakima County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.1.26
3254	MW474176	SARS-CoV-2/human/USA/WA-S3005/2020	GenBank	EPI_ISL_806935	B.1.1.291	Complete	29857	High	0/0/-/-/-	Homo sapiens	2020-08-13	United States / Washington /Yakima County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.1.291
3255	MW474181	SARS-CoV-2/human/USA/WA-S3010/2020	GenBank	EPI_ISL_806940	B.1.1.291	Complete	29851	High	0/0/-/-/-	Homo sapiens	2020-08-14	United States / Washington /Spokane County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.1.291
3256	MW474187	SARS-CoV-2/human/USA/WA-S3016/2020	GenBank	EPI_ISL_806946	B.1.574	Complete	29863	High	0/0/-/-/-	Homo sapiens	2020-08-15	United States / Washington /Yakima County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.574
3257	MW474189	SARS-CoV-2/human/USA/WA-S3018/2020	GenBank	EPI_ISL_806948	B.1.309	Complete	29870	High	0/0/-/-/-	Homo sapiens	2020-08-16	United States / Washington /Yakima County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.309
3258	MW474192	SARS-CoV-2/human/USA/WA-S3021/2020	GenBank	EPI_ISL_806951	B.1.233	Complete	29833	High	0/0/-/-/-	Homo sapiens	2020-08-17	United States / Washington /King County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.233
3259	MW474219	SARS-CoV-2/human/USA/WA-S3050/2020	GenBank	EPI_ISL_806980	B.1.369	Complete	29837	High	0/0/-/-/-	Homo sapiens	2020-08-21	United States / Washington /Grays Harbor County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.369
3260	MW474223	SARS-CoV-2/human/USA/WA-S3054/2020	GenBank	EPI_ISL_806984	B.1.369	Complete	29851	High	0/0/-/-/-	Homo sapiens	2020-08-21	United States / Washington /Spokane County	 	2021-01-13	University of Washington Medical Center, Seattle Flu Study, 1959 NE Pacific Street, Seattle, WA 98195, USA	2021-01-14 17:30:39	2021-03-16 10:46:59	B.1.369
3261	MW474741	SARS-CoV-2/human/MLI/UCRC 31/2020	GenBank	 	A	Complete	29882	High	0/0/-/-/-	Homo sapiens	2020-03-31	Mali	 	2021-01-13	University Clinical Research Center, University of Sciences, Techniques and Technologies of Bamako, Point G, Bamako ML91093, Mali	2021-01-14 17:30:39	2021-03-16 10:46:59	A
3262	MW476697	SARS-CoV-2/human/USA/NC-SLPH-0019/2020	GenBank	EPI_ISL_825031	B.1.369	Complete	29817	High	0/0/-/-/-	Homo sapiens	2020-09-11	United States / North Carolina	 	2021-01-14	Infectious Diseases, NC SLPH COVID-19 Response Team, 4312 District Dr, Raleigh, NC 27699, USA	2021-01-15 19:39:40	2021-03-16 10:46:59	B.1.369
3263	MW482871	SARS-CoV-2/human/USA/GA-CDC-9H24-7433/2020	GenBank	EPI_ISL_812161	B.1.2	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-07-29	United States / Georgia	GA Department of Public Health Laboratory	2021-01-13	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-15 19:39:40	2021-03-16 10:46:59	B.1.2
3264	MW482873	SARS-CoV-2/human/USA/GA-CDC-9HIN-7552/2020	GenBank	EPI_ISL_812163	B.1.1.186	Complete	29829	High	0/0/-/-/-	Homo Sapiens	2020-10-23	United States / Georgia	GA Department of Public Health Laboratory	2021-01-13	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-15 19:39:40	2021-03-16 10:46:59	B.1.1.186
3265	MW482878	SARS-CoV-2/human/USA/GA-CDC-9HO7-7592/2020	GenBank	EPI_ISL_812167	B.1.1.186	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-10-25	United States / Georgia	GA Department of Public Health Laboratory	2021-01-13	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-15 19:39:40	2021-03-16 10:46:59	B.1.1.186
3266	MW482887	SARS-CoV-2/human/USA/MN-CDC-KCCH-3700/2020	GenBank	EPI_ISL_812198	B.1	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-03-09	United States / Minnesota	MN PHL Division, Minnesota Department of Health	2021-01-13	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-15 19:39:40	2021-03-16 10:46:59	B.1
3267	MW482904	SARS-CoV-2/human/USA/GA-CDC-9IWI-7911/2020	GenBank	EPI_ISL_812179	B.1.1.186	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-10-29	United States / Georgia	GA Department of Public Health Laboratory	2021-01-13	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-15 19:39:40	2021-03-16 10:46:59	B.1.1.186
3268	MW482927	SARS-CoV-2/human/USA/GA-CDC-98GJ-5204/2020	GenBank	EPI_ISL_1233940	B.1.2	Complete	29902	High	0/0/-/-/-	Homo sapiens	2020-11-17	United States	 	2021-01-13	Respiratory Viruses Branch, Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30329, USA	2021-01-17 20:10:45	2021-04-16 16:44:35	B.1.2
3269	MW482931	SARS-CoV-2/human/USA/GA-CDC-9B80-5920/2020	GenBank	EPI_ISL_812154	B.1.2	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-11-18	United States / Georgia	GA Department of Public Health Laboratory	2021-01-13	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-15 19:39:40	2021-03-16 10:46:59	B.1.2
3270	MW482942	SARS-CoV-2/human/USA/TN-CDC-MN0U-6915/2020	GenBank	EPI_ISL_812213	B.1.2	Complete	29901	High	0/0/-/-/-	Homo Sapiens	2020-11-17	United States / Tennessee	TN Division of Laboratory Services	2021-01-13	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-15 19:39:40	2021-03-16 10:46:59	B.1.2
3271	MW482946	SARS-CoV-2/human/USA/TN-CDC-MN1I-6919/2020	GenBank	EPI_ISL_812217	B.1	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-11-16	United States / Tennessee	TN Division of Laboratory Services	2021-01-13	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-15 19:39:40	2021-03-16 10:46:59	B.1
3272	MW483100	SARS-CoV-2/human/USA/MD-MDH-0544/2020	GenBank	EPI_ISL_804021	B.1.2	Complete	29836	High	0/0/-/-/-	Homo Sapiens	2020-12-28	United States / Maryland	Maryland Public Health Laboratory	2021-01-12	Maryland Public Health Laboratory	2021-01-13 17:26:28	2021-03-16 10:46:59	B.1.2
3273	MW483104	SARS-CoV-2/human/USA/MD-MDH-0548/2020	GenBank	EPI_ISL_804025	B.1.2	Complete	29830	High	0/0/-/-/-	Homo Sapiens	2020-12-28	United States / Maryland	Maryland Public Health Laboratory	2021-01-12	Maryland Public Health Laboratory	2021-01-13 17:26:28	2021-03-16 10:46:59	B.1.2
3274	MW483108	SARS-CoV-2/human/USA/MD-MDH-0552/2020	GenBank	EPI_ISL_804463	B.1.1.265	Complete	29869	High	0/0/-/-/-	Homo Sapiens	2020-12-29	United States / Maryland	Maryland Public Health Laboratory	2021-01-12	Maryland Public Health Laboratory	2021-01-13 17:26:28	2021-03-16 10:46:59	B.1.1.265
3275	MW483114	SARS-CoV-2/human/USA/MD-MDH-0558/2020	GenBank	EPI_ISL_804464	B.1.2	Complete	29842	High	0/0/-/-/-	Homo Sapiens	2020-12-30	United States / Maryland	Maryland Public Health Laboratory	2021-01-12	Maryland Public Health Laboratory	2021-01-13 17:26:28	2021-03-16 10:46:59	B.1.2
3276	MW483115	SARS-CoV-2/human/USA/MD-MDH-0559/2020	GenBank	EPI_ISL_804034	B.1.2	Complete	29862	High	0/0/-/-/-	Homo Sapiens	2020-12-30	United States / Maryland	Maryland Public Health Laboratory	2021-01-12	Maryland Public Health Laboratory	2021-01-13 17:26:28	2021-03-16 10:46:59	B.1.2
3277	MW483117	SARS-CoV-2/human/USA/MD-MDH-0561/2020	GenBank	EPI_ISL_804465	B.1.110.3	Complete	29822	High	0/0/-/-/-	Homo Sapiens	2020-12-30	United States / Maryland	Maryland Public Health Laboratory	2021-01-12	Maryland Public Health Laboratory	2021-01-13 17:26:28	2021-03-16 10:46:59	B.1.110.3
3278	MW483178	SARS-CoV-2/human/USA/CA-CZB-9647/2020	GenBank	EPI_ISL_672147	B.1	Complete	29816	High	0/0/-/-/-	Homo Sapiens	2020-04-28	United States / California / Santa Clara County	The Ashley Laboratory, Stanford University	2020-12-03	Chan-Zuckerberg Biohub	2020-12-07 05:24:31	2021-03-16 10:46:59	B.1
3279	MW483219	SARS-CoV-2/human/USA/CA-CZB-10001/2020	GenBank	EPI_ISL_672184	B.1	Complete	29815	High	0/0/-/-/-	Homo Sapiens	2020-04-01	United States / California / Santa Clara County	The Ashley Laboratory, Stanford University	2020-12-03	Chan-Zuckerberg Biohub	2020-12-07 05:24:32	2021-03-16 10:46:59	B.1
3280	MW483285	SARS-CoV-2/human/USA/CA-CZB-10169/2020	GenBank	EPI_ISL_672243	B.1	Complete	29852	High	0/0/-/-/-	Homo Sapiens	2020-06-23	United States / California / Santa Clara County	The Ashley Laboratory, Stanford University	2020-12-03	Chan-Zuckerberg Biohub	2020-12-07 05:24:33	2021-03-16 10:46:59	B.1
3281	MW483325	SARS-CoV-2/human/USA/CA-CZB-11886/2020	GenBank	EPI_ISL_672280	B.1	Complete	29852	High	0/0/-/-/-	Homo Sapiens	2020-09-30	United States / California / Santa Clara County	Santa Clara County Public Health Laboratory	2020-12-03	Chan-Zuckerberg Biohub	2020-12-07 05:24:34	2021-03-16 10:46:59	B.1
3282	MW483370	SARS-CoV-2/human/USA/CA-CZB-13035/2020	GenBank	EPI_ISL_672315	B.1.1.174	Complete	29818	High	0/0/-/-/-	Homo Sapiens	2020-05-14	United States / California / Alameda County	Alameda County Public Health Lab	2020-12-03	Chan-Zuckerberg Biohub	2020-12-07 05:24:34	2021-03-16 10:46:59	B.1.1.174
3283	MW483427	SARS-CoV-2/human/USA/CA-CZB-12940/2020	GenBank	EPI_ISL_672364	B.1.2	Complete	29837	High	0/0/-/-/-	Homo Sapiens	2020-10-18	United States / California / Orange County	Orange County Public Health Lab	2020-12-03	Chan-Zuckerberg Biohub	2020-12-07 05:24:35	2021-03-16 10:46:59	B.1.2
3284	MW483582	SARS-CoV-2/human/USA/CA-CZB-13551/2020	GenBank	EPI_ISL_672490	B.1.320	Complete	29808	High	0/0/-/-/-	Homo Sapiens	2020-06-11	United States / California / Marin County	UCSF Clinical Microbiology Laboratory	2020-12-03	Chan-Zuckerberg Biohub	2020-12-07 05:24:38	2021-03-16 10:46:59	B.1.320
3285	MW483598	SARS-CoV-2/human/USA/CA-CZB-13558/2020	GenBank	EPI_ISL_672502	B.1.243	Complete	29812	High	0/0/-/-/-	Homo Sapiens	2020-07-17	United States / California / Madera County	Madera County Department of Public Health	2020-12-03	Chan-Zuckerberg Biohub	2020-12-07 05:24:38	2021-03-16 10:46:59	B.1.243
3286	MW483601	SARS-CoV-2/human/USA/CA-CZB-13530/2020	GenBank	EPI_ISL_672504	B.1.2	Complete	29802	High	0/0/-/-/-	Homo Sapiens	2020-11-02	United States / California / Madera County	Madera County Department of Public Health	2020-12-03	Chan-Zuckerberg Biohub	2020-12-07 05:24:38	2021-03-16 10:46:59	B.1.2
3287	MW484815	SARS-CoV-2/human/USA/MD-MDH-0566/2020	GenBank	EPI_ISL_824948	B.1.240	Complete	29862	High	0/0/-/-/-	Homo Sapiens	2020-12-30	United States / Maryland	Maryland Public Health Laboratory	2021-01-14	Maryland Public Health Laboratory	2021-01-16 18:08:48	2021-03-16 10:46:59	B.1.240
3288	MW484821	SARS-CoV-2/human/USA/MD-MDH-0572/2021	GenBank	EPI_ISL_824954	B.1.240	Complete	29839	High	0/0/-/-/-	Homo Sapiens	2021-01-04	United States / Maryland	Maryland Public Health Laboratory	2021-01-14	Maryland Public Health Laboratory	2021-01-16 18:08:48	2021-03-16 10:46:59	B.1.240
3289	MW484822	SARS-CoV-2/human/USA/MD-MDH-0573/2021	GenBank	EPI_ISL_824955	B.1.509	Complete	29810	High	0/0/-/-/-	Homo Sapiens	2021-01-04	United States / Maryland	Maryland Public Health Laboratory	2021-01-14	Maryland Public Health Laboratory	2021-01-16 18:08:48	2021-03-16 10:46:59	B.1.509
3290	MW484836	SARS-CoV-2/human/USA/MD-MDH-0587/2021	GenBank	EPI_ISL_824969	B.1.265	Complete	29823	High	0/0/-/-/-	Homo Sapiens	2021-01-05	United States / Maryland	Maryland Public Health Laboratory	2021-01-14	Maryland Public Health Laboratory	2021-01-16 18:08:48	2021-03-16 10:46:59	B.1.265
3291	MW484839	SARS-CoV-2/human/USA/MD-MDH-0590/2021	GenBank	EPI_ISL_824972	B.1.605	Complete	29834	High	0/0/-/-/-	Homo Sapiens	2021-01-05	United States / Maryland	Maryland Public Health Laboratory	2021-01-14	Maryland Public Health Laboratory	2021-01-16 18:08:48	2021-03-16 10:46:59	B.1.605
3292	MW484842	SARS-CoV-2/human/USA/MD-MDH-0593/2021	GenBank	EPI_ISL_824975	B.1.234	Complete	29853	High	0/0/-/-/-	Homo Sapiens	2021-01-04	United States / Maryland	Maryland Public Health Laboratory	2021-01-14	Maryland Public Health Laboratory	2021-01-16 18:08:48	2021-03-16 10:46:59	B.1.234
3293	MW485137	SARS-CoV-2/human/USA/CA-LACPHL-AF00125/2020	GenBank	EPI_ISL_832106	B.1.243	Complete	29897	High	0/0/-/-/-	Homo sapiens	2020-12-15	United States / California	 	2021-01-16	Los Angeles County Public Health Laboratories, Los Angeles County Public Health Lab microbial pathogen submission group, 12750 Erickson Avenue, Downey, CA 90242, USA	2021-01-17 20:10:45	2021-03-16 10:46:59	B.1.243
3294	MW485257	SARS-CoV-2/human/USA/NMDOH-2020519309/2020	GenBank	 	B.1.346	Complete	29820	High	0/0/-/-/-	Homo sapiens	2020-11-12	United States / New Mexico	 	2021-01-15	Molecular Biology, New Mexico Department of Health Scientific Laboratory, 1101 Camino de Salud NE, Albuquerque, NM 87102, USA	2021-01-17 20:10:45	2021-03-16 10:46:59	B.1.346
3295	MW485259	SARS-CoV-2/human/USA/NMDOH-2020557982/2020	GenBank	 	B.1	Complete	29797	High	0/0/-/-/-	Homo sapiens	2020-11-22	United States / New Mexico	 	2021-01-15	Molecular Biology, New Mexico Department of Health Scientific Laboratory, 1101 Camino de Salud NE, Albuquerque, NM 87102, USA	2021-01-17 20:10:45	2021-03-16 10:46:59	B.1
3296	MW485270	SARS-CoV-2/human/USA/NMDOH-2020646081/2020	GenBank	 	B.1.596	Complete	29782	High	0/0/-/-/-	Homo sapiens	2020-12-29	United States / New Mexico	 	2021-01-15	Molecular Biology, New Mexico Department of Health Scientific Laboratory, 1101 Camino de Salud NE, Albuquerque, NM 87102, USA	2021-01-17 20:10:45	2021-03-16 10:46:59	B.1.596
3297	MW485272	SARS-CoV-2/human/USA/NMDOH-2020646502/2020	GenBank	 	B.1.2	Complete	29820	High	0/0/-/-/-	Homo sapiens	2020-12-29	United States / New Mexico	 	2021-01-15	Molecular Biology, New Mexico Department of Health Scientific Laboratory, 1101 Camino de Salud NE, Albuquerque, NM 87102, USA	2021-01-17 20:10:45	2021-03-16 10:46:59	B.1.2
3298	MW485278	SARS-CoV-2/human/USA/NMDOH-2020647123/2020	GenBank	 	B.1.2	Complete	29832	High	0/0/-/-/-	Homo sapiens	2020-12-28	United States / New Mexico	 	2021-01-15	Molecular Biology, New Mexico Department of Health Scientific Laboratory, 1101 Camino de Salud NE, Albuquerque, NM 87102, USA	2021-01-17 20:10:45	2021-03-16 10:46:59	B.1.2
3299	MW485281	SARS-CoV-2/human/USA/NMDOH-2020647766/2020	GenBank	 	B.1.346	Complete	29829	High	0/0/-/-/-	Homo sapiens	2020-12-29	United States / New Mexico	 	2021-01-15	Molecular Biology, New Mexico Department of Health Scientific Laboratory, 1101 Camino de Salud NE, Albuquerque, NM 87102, USA	2021-01-17 20:10:45	2021-03-16 10:46:59	B.1.346
3300	MW485290	SARS-CoV-2/human/USA/NMDOH-2020649958/2020	GenBank	 	B.1.599	Complete	29832	High	0/0/-/-/-	Homo sapiens	2020-12-30	United States / New Mexico	 	2021-01-15	Molecular Biology, New Mexico Department of Health Scientific Laboratory, 1101 Camino de Salud NE, Albuquerque, NM 87102, USA	2021-01-17 20:10:45	2021-03-16 10:46:59	B.1.599
3301	MW485327	SARS-CoV-2/human/USA/CA-CDC-STM-103/2020	GenBank	EPI_ISL_802664	B.1.375	Complete	29854	High	0/0/-/-/-	Homo Sapiens	2020-12-29	United States / California	Helix/Illumina	2021-01-11	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-13 17:26:28	2021-03-16 10:46:59	B.1.375
3302	MW485329	SARS-CoV-2/human/USA/CA-CDC-STM-098/2020	GenBank	EPI_ISL_802663	B.1.375	Complete	29857	High	0/0/-/-/-	Homo Sapiens	2020-12-29	United States / California	Helix/Illumina	2021-01-11	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-13 17:26:28	2021-03-16 10:46:59	B.1.375
3303	MW485356	SARS-CoV-2/human/USA/FL-CDC-STM-086/2020	GenBank	EPI_ISL_802680	B.1.375	Complete	29875	High	0/0/-/-/-	Homo Sapiens	2020-12-28	United States / Florida	Helix/Illumina	2021-01-11	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-13 17:26:28	2021-03-16 10:46:59	B.1.375
3304	MW485370	SARS-CoV-2/human/USA/FL-CDC-STM-012/2020	GenBank	EPI_ISL_802669	B.1.375	Complete	29875	High	0/0/-/-/-	Homo Sapiens	2020-12-28	United States / Florida	Helix/Illumina	2021-01-11	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	2021-01-13 17:26:28	2021-03-16 10:46:59	B.1.375
