Virus Strain Name	Accession ID	Data Source	Related ID	Lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location	Originating Lab	Submission Date	Submitting Lab	Create Time	Last Update Time
hCoV-19/Mexico/CMX-INMEGEN-04-06-57/2021	EPI_ISL_1807358	GISAID		P.1	Partial	29817	Low	2460/0/NA/NA/NA	Homo Sapiens	2021-04-22	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-64/2021	EPI_ISL_1807359	GISAID		B.1	Partial	29804	Low	6876/0/NA/NA/NA	Homo Sapiens	2021-03-22	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-66/2021	EPI_ISL_1807360	GISAID		B.1.1.519	Partial	29798	Low	2245/0/NA/NA/NA	Homo Sapiens	2021-03-11	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-70/2021	EPI_ISL_1807361	GISAID		B.1.1.519	Complete	29826	High	0/0/-/-/-	Homo Sapiens	2021-03-22	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-71/2021	EPI_ISL_1807362	GISAID		NA	Partial	29813	Low	10067/0/NA/NA/NA	Homo Sapiens	2021-04-06	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-73/2021	EPI_ISL_1807363	GISAID		B.1.1.7	Complete	29811	Low	29/0/NA/NA/NA	Homo Sapiens	2021-04-19	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-75/2021	EPI_ISL_1807364	GISAID		B.1.526	Partial	29805	Low	3678/0/NA/NA/NA	Homo Sapiens	2021-03-16	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-78/2021	EPI_ISL_1807365	GISAID		B.1.1.519	Complete	29816	Low	1063/0/NA/NA/NA	Homo Sapiens	2021-03-16	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-81/2021	EPI_ISL_1807366	GISAID		B.1.1.519	Complete	29816	Low	1254/0/NA/NA/NA	Homo Sapiens	2021-03-16	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-82/2021	EPI_ISL_1807367	GISAID		B.1.1.519	Partial	29818	Low	1597/0/NA/NA/NA	Homo Sapiens	2021-03-16	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-84/2021	EPI_ISL_1807368	GISAID		B.1	Partial	29813	Low	6210/0/NA/NA/NA	Homo Sapiens	2021-03-12	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-85/2021	EPI_ISL_1807369	GISAID		B.1.1.519	Partial	29810	Low	1937/0/NA/NA/NA	Homo Sapiens	2021-03-12	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-86/2021	EPI_ISL_1807370	GISAID		B.1	Partial	29808	Low	4786/0/NA/NA/NA	Homo Sapiens	2021-03-12	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-88/2021	EPI_ISL_1807371	GISAID		B.1	Partial	29812	Low	5495/0/NA/NA/NA	Homo Sapiens	2021-03-12	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-92/2021	EPI_ISL_1807372	GISAID		B.1	Partial	29807	Low	5495/0/NA/NA/NA	Homo Sapiens	2021-03-11	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-93/2021	EPI_ISL_1807373	GISAID		B.1.1.519	Complete	29817	Low	95/0/NA/NA/NA	Homo Sapiens	2021-03-11	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-04-06-94/2021	EPI_ISL_1807374	GISAID		B.1	Partial	29798	Low	6299/0/NA/NA/NA	Homo Sapiens	2021-03-11	Mexico / Mexico City		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-97/2021	EPI_ISL_1810831	GISAID		B.1	Complete	29821	Low	209/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-98/2021	EPI_ISL_1810832	GISAID		B.1.1.519	Complete	29828	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-99/2021	EPI_ISL_1810833	GISAID		B.1.1.519	Complete	29822	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-100/2021	EPI_ISL_1810834	GISAID		B.1.1.519	Complete	29818	Low	233/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-101/2021	EPI_ISL_1810835	GISAID		B.1.1.519	Complete	29819	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-102/2021	EPI_ISL_1810836	GISAID		B.1.1.519	Partial	29815	Low	1828/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-103/2021	EPI_ISL_1810837	GISAID		A.2.5	Complete	29780	Low	40/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-104/2021	EPI_ISL_1810838	GISAID		B.1.1.519	Complete	29816	Low	460/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-105/2021	EPI_ISL_1810839	GISAID		B.1.1.519	Complete	29816	Low	399/0/NA/NA/NA	Homo Sapiens	2021-04-13	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/MEX-INMEGEN-InDRE-04-06-106/2021	EPI_ISL_1810840	GISAID		B.1.1.519	Complete	29816	Low	664/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / State of Mexico		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-107/2021	EPI_ISL_1810841	GISAID		B.1.1.519	Complete	29823	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-108/2021	EPI_ISL_1810842	GISAID		B.1.1.519	Complete	29817	Low	252/0/NA/NA/NA	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-109/2021	EPI_ISL_1810843	GISAID		B.1.1.519	Complete	29826	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-110/2021	EPI_ISL_1810844	GISAID		B.1.1.519	Complete	29822	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-111/2021	EPI_ISL_1810845	GISAID		B.1.1.519	Complete	29826	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/MEX-INMEGEN-InDRE-04-06-112/2021	EPI_ISL_1810846	GISAID		B.1.1.519	Complete	29820	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / State of Mexico		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-113/2021	EPI_ISL_1810847	GISAID		P.1.1	Complete	29816	High	6/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-114/2021	EPI_ISL_1810848	GISAID		B.1.1.519	Complete	29815	Low	560/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-115/2021	EPI_ISL_1810849	GISAID		B.1.1.519	Complete	29828	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-116/2021	EPI_ISL_1810850	GISAID		B.1.1.519	Complete	29828	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-117/2021	EPI_ISL_1810851	GISAID		B.1	Partial	29807	Low	2071/0/NA/NA/NA	Homo Sapiens	2021-04-13	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-119/2021	EPI_ISL_1810852	GISAID		B.1.1.519	Partial	29815	Low	1252/0/NA/NA/NA	Homo Sapiens	2021-04-13	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-120/2021	EPI_ISL_1810853	GISAID		B.1.1.519	Complete	29818	Low	196/0/NA/NA/NA	Homo Sapiens	2021-04-13	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/MEX-INMEGEN-InDRE-04-06-121/2021	EPI_ISL_1810854	GISAID		B.1.1.519	Partial	29813	Low	1692/0/NA/NA/NA	Homo Sapiens	2021-04-13	Mexico / State of Mexico		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-122/2021	EPI_ISL_1810855	GISAID		B.1	Complete	29786	Low	299/0/NA/NA/NA	Homo Sapiens	2021-04-13	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-123/2021	EPI_ISL_1810856	GISAID		B.1.1.519	Complete	29820	Low	134/0/NA/NA/NA	Homo Sapiens	2021-04-13	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-124/2021	EPI_ISL_1810857	GISAID		B.1	Partial	29825	Low	1927/0/NA/NA/NA	Homo Sapiens	2021-04-13	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-125/2021	EPI_ISL_1810858	GISAID		B.1.1.519	Complete	29815	Low	1221/0/NA/NA/NA	Homo Sapiens	2021-04-13	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-126/2021	EPI_ISL_1810859	GISAID		B.1.1.519	Complete	29817	Low	179/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-127/2021	EPI_ISL_1810860	GISAID		B.1.1.519	Partial	29803	Low	3854/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/MEX-INMEGEN-InDRE-04-06-128/2021	EPI_ISL_1810861	GISAID		B.1	Complete	29813	Low	1580/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / State of Mexico		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-129/2021	EPI_ISL_1810862	GISAID		B.1.1.519	Complete	29818	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-130/2021	EPI_ISL_1810863	GISAID		B.1.1.519	Complete	29827	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-131/2021	EPI_ISL_1810864	GISAID		B.1.1.519	Complete	29826	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-132/2021	EPI_ISL_1810865	GISAID		B.1.1.519	Complete	29826	Low	258/0/NA/NA/NA	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-133/2021	EPI_ISL_1810866	GISAID		B.1.1.519	Complete	29819	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-134/2021	EPI_ISL_1810867	GISAID		B.1.1.519	Complete	29819	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-135/2021	EPI_ISL_1810868	GISAID		B.1.1.519	Complete	29828	High	0/0/-/-/-	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/MEX-INMEGEN-InDRE-04-06-136/2021	EPI_ISL_1810869	GISAID		B.1.1.519	Complete	29818	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / State of Mexico		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-137/2021	EPI_ISL_1810870	GISAID		B.1.1.519	Complete	29821	Low	985/0/NA/NA/NA	Homo Sapiens	2021-04-13	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-138/2021	EPI_ISL_1810871	GISAID		B.1	Complete	29813	Low	1203/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-139/2021	EPI_ISL_1810872	GISAID		B.1.1.519	Complete	29818	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-140/2021	EPI_ISL_1810873	GISAID		B.1.1.222	Complete	29822	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-141/2021	EPI_ISL_1810874	GISAID		B.1.1.519	Complete	29826	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-142/2021	EPI_ISL_1810875	GISAID		B.1.1.519	Complete	29826	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-143/2021	EPI_ISL_1810876	GISAID		B.1.1.222	Complete	29799	Low	426/0/NA/NA/NA	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-144/2021	EPI_ISL_1810877	GISAID		B.1	Complete	29823	Low	769/0/NA/NA/NA	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-145/2021	EPI_ISL_1810878	GISAID		B.1	Complete	29816	Low	974/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-146/2021	EPI_ISL_1810879	GISAID		B.1.1.519	Complete	29821	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-147/2021	EPI_ISL_1810880	GISAID		B.1	Complete	29814	Low	1925/0/NA/NA/NA	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-148/2021	EPI_ISL_1810881	GISAID		B.1.1.519	Complete	29827	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-149/2021	EPI_ISL_1810882	GISAID		B.1.1.519	Complete	29824	Low	63/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/MEX-INMEGEN-InDRE-04-06-150/2021	EPI_ISL_1810883	GISAID		P.1	Complete	29812	Low	1227/0/NA/NA/NA	Homo Sapiens	2021-04-14	Mexico / State of Mexico		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/MEX-INMEGEN-InDRE-04-06-151/2021	EPI_ISL_1810884	GISAID		B.1.1.519	Complete	29819	Low	17/0/NA/NA/NA	Homo Sapiens	2021-04-15	Mexico / State of Mexico		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-152/2021	EPI_ISL_1810885	GISAID		B.1.1.519	Complete	29827	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-153/2021	EPI_ISL_1810886	GISAID		B.1.1.519	Complete	29819	Low	137/0/NA/NA/NA	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-154/2021	EPI_ISL_1810887	GISAID		B.1.1.519	Complete	29827	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-155/2021	EPI_ISL_1810888	GISAID		B.1.1.519	Complete	29819	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-156/2021	EPI_ISL_1810889	GISAID		B.1.1.519	Complete	29800	Low	620/0/NA/NA/NA	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-157/2021	EPI_ISL_1810890	GISAID		B.1.1.519	Complete	29818	Low	856/0/NA/NA/NA	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/MEX-INMEGEN-InDRE-04-06-158/2021	EPI_ISL_1810891	GISAID		B.1.1.519	Complete	29820	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / State of Mexico		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-159/2021	EPI_ISL_1810892	GISAID		B.1.1.519	Complete	29816	High	0/0/-/-/-	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-160/2021	EPI_ISL_1810893	GISAID		B.1.1.519	Complete	29827	High	0/0/-/-/-	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-161/2021	EPI_ISL_1810894	GISAID		B.1.1.519	Complete	29827	High	0/0/-/-/-	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-162/2021	EPI_ISL_1810895	GISAID		B.1.1.519	Complete	29819	High	2/0/-/-/-	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-163/2021	EPI_ISL_1810896	GISAID		B.1.1.519	Complete	29823	High	0/0/-/-/-	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-164/2021	EPI_ISL_1810897	GISAID		B.1.1.519	Partial	29824	Low	1841/0/NA/NA/NA	Homo Sapiens	2021-04-15	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-165/2021	EPI_ISL_1810898	GISAID		B.1.1.7	Complete	29800	High	0/0/-/-/-	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-166/2021	EPI_ISL_1810899	GISAID		B.1.1.7	Complete	29801	High	0/0/-/-/-	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/MEX-INMEGEN-InDRE-04-06-167/2021	EPI_ISL_1810900	GISAID		B.1.1.519	Complete	29813	Low	117/0/NA/NA/NA	Homo Sapiens	2021-04-16	Mexico / State of Mexico		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-168/2021	EPI_ISL_1810901	GISAID		B.1.1.519	Complete	29816	Low	671/0/NA/NA/NA	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-169/2021	EPI_ISL_1810902	GISAID		B.1.1.519	Complete	29817	Low	872/0/NA/NA/NA	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-170/2021	EPI_ISL_1810903	GISAID		P.1.1	Complete	29812	Low	365/0/NA/NA/NA	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-171/2021	EPI_ISL_1810904	GISAID		P.1.1	Complete	29818	Low	1140/0/NA/NA/NA	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-172/2021	EPI_ISL_1810905	GISAID		B.1.1.519	Complete	29819	Low	26/0/NA/NA/NA	Homo Sapiens	2021-04-17	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/MEX-INMEGEN-InDRE-04-06-173/2021	EPI_ISL_1810906	GISAID		B.1.1.519	Complete	29816	Low	582/0/NA/NA/NA	Homo Sapiens	2021-04-16	Mexico / State of Mexico		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-174/2021	EPI_ISL_1810907	GISAID		B.1.1.519	Complete	29816	Low	79/0/NA/NA/NA	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-175/2021	EPI_ISL_1810908	GISAID		B.1.1.7	Complete	29800	Low	19/0/NA/NA/NA	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-176/2021	EPI_ISL_1810909	GISAID		B.1.1.519	Complete	29792	Low	757/0/NA/NA/NA	Homo Sapiens	2021-04-17	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
hCoV-19/Mexico/CMX-INMEGEN-InDRE-04-06-177/2021	EPI_ISL_1810910	GISAID		B.1.1.519	Complete	29819	Low	26/0/NA/NA/NA	Homo Sapiens	2021-04-16	Mexico / Mexico city		2021-04-30		2021-05-09 12:07:54	2021-05-11 13:02:51
